data,concurso,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5
1994-03-13,1,25,45,60,76,79
1994-03-17,2,13,30,58,63,64
1994-03-20,3,5,15,32,33,48
1994-03-24,4,27,57,60,61,77
1994-03-27,5,19,44,53,54,71
1994-04-03,6,4,45,54,65,67
1994-04-07,7,9,21,37,42,68
1994-04-10,8,5,16,26,28,62
1994-04-14,9,4,15,44,64,73
1994-04-17,10,20,32,49,54,62
1994-04-24,11,17,33,52,60,76
1994-04-28,12,1,28,56,65,79
1994-05-01,13,13,33,38,39,72
1994-05-05,14,44,52,60,64,68
1994-05-08,15,2,25,54,63,66
1994-05-12,16,11,24,63,64,69
1994-05-15,17,1,14,26,34,72
1994-05-19,18,6,29,40,63,72
1994-05-22,19,12,21,42,60,66
1994-05-26,20,13,16,31,39,70
1994-05-29,21,5,15,38,48,77
1994-06-05,22,7,9,11,25,75
1994-06-09,23,1,15,63,72,77
1994-06-12,24,9,44,57,67,68
1994-06-16,25,2,29,46,69,76
1994-06-19,26,10,15,22,55,79
1994-06-23,27,5,36,39,70,78
1994-06-26,28,8,26,28,29,30
1994-07-03,29,20,23,31,35,76
1994-07-07,30,12,13,14,56,60
1994-07-10,31,43,51,54,69,73
1994-07-14,32,9,23,31,60,80
1994-07-18,33,21,31,44,65,74
1994-07-21,34,17,45,64,67,69
1994-07-24,35,44,52,54,56,60
1994-07-28,36,42,56,62,65,79
1994-07-31,37,9,26,31,36,65
1994-08-04,38,11,12,57,59,69
1994-08-07,39,5,7,21,28,70
1994-08-11,40,2,18,31,38,49
1994-08-14,41,5,14,31,41,49
1994-08-18,42,15,33,39,76,78
1994-08-21,43,5,18,21,41,71
1994-08-25,44,2,7,57,59,76
1994-08-28,45,2,3,27,64,65
1994-09-01,46,30,49,72,78,80
1994-09-04,47,10,18,22,31,73
1994-09-11,48,20,39,72,73,76
1994-09-15,49,10,19,39,52,66
1994-09-18,50,4,10,15,42,45
1994-09-22,51,2,20,26,42,79
1994-09-25,52,6,39,41,61,64
1994-09-29,53,40,42,48,64,69
1994-10-02,54,13,21,32,33,66
1994-10-09,55,12,14,60,66,68
1994-10-16,56,5,18,24,43,48
1994-10-17,57,31,49,52,63,71
1994-10-23,58,34,41,50,67,77
1994-10-27,59,20,35,37,42,71
1994-10-30,60,19,25,32,68,71
1994-11-06,61,27,54,63,71,77
1994-11-10,62,3,12,24,36,40
1994-11-13,63,11,40,50,74,78
1994-11-20,64,25,43,52,59,75
1994-11-24,65,3,25,60,62,75
1994-11-27,66,66,73,75,76,79
1994-12-01,67,5,23,36,67,70
1994-12-04,68,7,52,68,69,76
1994-12-08,69,16,61,65,72,78
1994-12-11,70,5,25,52,57,62
1994-12-15,71,27,55,66,73,75
1994-12-18,72,12,23,39,54,72
1994-12-26,73,6,17,49,65,70
1995-01-02,74,41,47,49,70,74
1995-01-05,75,4,27,46,53,55
1995-01-08,76,3,23,58,62,74
1995-01-12,77,6,9,27,43,65
1995-01-15,78,2,19,50,59,69
1995-01-19,79,4,18,55,57,74
1995-01-22,80,35,42,55,60,78
1995-01-26,81,13,31,45,56,63
1995-01-29,82,13,34,55,64,80
1995-02-02,83,17,20,30,33,68
1995-02-05,84,1,8,13,53,61
1995-02-09,85,3,20,27,32,61
1995-02-12,86,13,49,57,67,78
1995-02-16,87,18,29,37,51,57
1995-02-19,88,11,25,49,51,53
1995-02-23,89,2,32,40,53,54
1995-02-26,90,8,16,32,74,79
1995-03-05,91,7,30,33,52,69
1995-03-09,92,11,25,29,42,66
1995-03-12,93,4,6,27,68,74
1995-03-16,94,1,19,59,65,80
1995-03-19,95,6,43,50,63,71
1995-03-23,96,4,50,51,52,77
1995-03-26,97,5,6,16,54,70
1995-03-30,98,4,16,17,35,49
1995-04-02,99,2,9,17,66,76
1995-04-06,100,33,36,56,58,60
1995-04-09,101,12,27,28,30,36
1995-04-16,102,5,23,50,65,67
1995-04-23,103,12,16,53,64,66
1995-04-27,104,20,30,36,48,53
1995-04-30,105,3,7,45,46,65
1995-05-07,106,20,21,43,45,67
1995-05-11,107,2,3,30,39,72
1995-05-14,108,1,19,50,52,54
1995-05-18,109,1,21,27,48,78
1995-05-21,110,1,19,27,36,57
1995-05-25,111,15,42,54,68,76
1995-05-28,112,31,41,75,76,79
1995-06-01,113,12,14,42,61,69
1995-06-04,114,10,20,44,58,65
1995-06-08,115,2,21,38,54,73
1995-06-11,116,16,20,34,56,57
1995-06-18,117,7,11,24,42,49
1995-06-22,118,14,23,26,56,77
1995-06-25,119,2,16,19,26,27
1995-06-29,120,7,39,48,58,62
1995-07-02,121,19,22,53,69,77
1995-07-06,122,2,8,12,53,54
1995-07-09,123,8,20,64,68,73
1995-07-13,124,10,11,12,23,37
1995-07-16,125,10,13,22,50,66
1995-07-20,126,4,12,63,78,80
1995-07-23,127,14,18,59,60,64
1995-07-27,128,17,24,47,49,66
1995-07-30,129,5,9,12,23,71
1995-08-02,130,18,34,38,40,43
1995-08-06,131,13,32,56,73,74
1995-08-10,132,19,25,63,74,77
1995-08-13,133,13,18,43,47,53
1995-08-17,134,10,28,60,62,74
1995-08-20,135,2,53,57,62,64
1995-08-24,136,9,19,24,59,61
1995-08-28,137,13,14,37,66,75
1995-08-31,138,13,23,37,56,80
1995-09-03,139,14,52,54,65,77
1995-09-10,140,32,43,50,57,75
1995-09-14,141,6,51,53,54,57
1995-09-17,142,15,21,56,79,80
1995-09-21,143,14,27,39,48,61
1995-09-24,144,16,24,42,71,75
1995-09-28,145,2,8,40,55,60
1995-10-01,146,12,18,21,31,69
1995-10-05,147,1,18,52,67,72
1995-10-08,148,32,33,43,46,52
1995-10-15,149,8,16,18,22,73
1995-10-19,150,12,24,26,39,40
1995-10-22,151,22,23,42,54,65
1995-10-26,152,5,14,31,38,75
1995-10-29,153,2,10,11,15,66
1995-11-05,154,67,64,9,5,41
1995-11-09,155,12,30,48,70,75
1995-11-12,156,7,12,29,54,55
1995-11-19,157,42,50,52,66,72
1995-11-23,158,2,27,35,44,55
1995-11-26,159,4,11,24,25,32
1995-11-30,160,8,25,42,60,63
1995-12-03,161,13,29,41,61,74
1995-12-07,162,20,25,57,67,78
1995-12-10,163,9,14,16,52,71
